,software,count,MAIN,QA,QA_retrieval,preprint,software_paper,confidence,programming_language,repository_platform,discuss_in_paper,annotator,comments,rand_urls
332,PANEL,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7087606/
333,EchoPAC,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32223761/;https://doi.org/10.1186/s12890-020-1099-9
334,You Only Look Once (YOLO,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32834685/;https://api.elsevier.com/content/article/pii/S0968090X20306422;https://doi.org/10.1016/j.trc.2020.102727;https://www.sciencedirect.com/science/article/pii/S0968090X20306422
335,MODELLER8v1,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163982/
336,- 19 Research Tools,1,,,,,,,,,,SD,,https://doi.org/10.1093/sleep/zsaa258;https://www.ncbi.nlm.nih.gov/pubmed/33249492/
337,LGBM,1,,,,,,,,,,SD,,https://arxiv.org/pdf/2008.12833v1.pdf
338,scRepertoire,2,,,,,,,,,,SD,,https://doi.org/10.1101/2020.08.24.264069
339,3DNA,5,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1636460/
340,VisionPro Learning,1,,,,,,,,,,SD,,https://arxiv.org/pdf/2010.00958v2.pdf
341,ZoraBots,1,,,,,,,,,,SD,,https://doi.org/10.1093/bib/bbaa361;https://www.ncbi.nlm.nih.gov/pubmed/33326994/
342,MedBERT,2,,,,,,,,,,SD,,https://arxiv.org/pdf/2010.07497v1.pdf
343,Puduppully,3,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7148215/
344,CoLA,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7148240/
345,VGI,4,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S1877584515000179;https://doi.org/10.1016/j.sste.2015.04.003;https://www.ncbi.nlm.nih.gov/pubmed/26046634/;https://api.elsevier.com/content/article/pii/S1877584515000179
346,TwoVS,20,,,,,,,,,,SD,,https://api.elsevier.com/content/article/pii/S0378720615000087;https://www.sciencedirect.com/science/article/pii/S0378720615000087
347,Triage,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32579076/;https://doi.org/10.1080/22221751.2020.1787107
348,ICNP®,1,,,,,,,,,,SD,,https://api.elsevier.com/content/article/pii/S0029655408001589;https://www.sciencedirect.com/science/article/pii/S0029655408001589;https://doi.org/10.1016/j.outlook.2008.06.009;https://www.ncbi.nlm.nih.gov/pubmed/18922277/
349,BeeTrace,18,,,,,,,,,,SD,,https://arxiv.org/pdf/2007.02285v1.pdf
350,SciVi scientific,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7304727/
351,Clustal W2,6,,,,,,,,,,SD,,https://doi.org/10.1007/s12293-009-0030-y;https://www.ncbi.nlm.nih.gov/pubmed/32218874/
352,RCRA,1,,,,,,,,,,SD,,https://arxiv.org/pdf/2012.02592v2.pdf
353,statistical package for the social sciences (SPSS,1,,,,,,,,,,SD,,https://doi.org/10.1371/journal.pone.0245512;https://www.ncbi.nlm.nih.gov/pubmed/33471833/
354,ECFS,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7668741/
355,FoMO,17,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S0736585320301179?v=s5;https://api.elsevier.com/content/article/pii/S0736585320301179
356,PubMLST,2,,,,,,,,,,SD,,http://medrxiv.org/cgi/content/short/2020.11.18.20225029v1?rss=1;https://doi.org/10.1101/2020.11.18.20225029
357,FPocket,16,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/32708196/;https://doi.org/10.3390/ijms21145152
358,Ontological,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250613/
359,EEMD,2,,,,,,,,,,SD,,https://www.sciencedirect.com/science/article/pii/S2542660520300615?v=s5;https://api.elsevier.com/content/article/pii/S2542660520300615
360,EPUAP,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6462022/
361,Pandemic Influenza Severity Assessment tool,2,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pubmed/31547606/;https://doi.org/10.3390/tropicalmed4040121
362,RS Modification and Motif Analysis,1,,,,,,,,,,SD,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188828/
363,phylog,2,,,,,,,,,,NCH,,https://doi.org/10.1038/s41598-019-40452-6;https://www.ncbi.nlm.nih.gov/pubmed/30842590/
364,3DSEARCH,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7168536/
365,FUNCAT,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7100641/
366,CovSegNethybrid,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2012.01473v1.pdf
367,CENTER,3,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7210239/
368,Atmel Studio,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/1902.09379v1.pdf;https://www.ncbi.nlm.nih.gov/pubmed/29877824/;https://doi.org/10.1109/tbcas.2018.2812222
369,SHEET,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33219227/;https://doi.org/10.1038/s41597-020-00749-y
370,RegSMOImproved,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/27490990/;https://doi.org/10.1111/cbdd.12834
371,COVID Knowledge Extractor (COKE),1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7709174/
372,FlowJo®,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7544523/
373,Promide,3,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120660/
374,Topol,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33442575/;https://doi.org/10.1159/000512681
375,ChemoStar Professional,4,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/31964246/;https://doi.org/10.1080/22221751.2020.1713705
376,PhylloZyme,1,,,,,,,,,,NCH,,https://doi.org/10.1111/pbi.13468;https://www.ncbi.nlm.nih.gov/pubmed/32799416/
377,InMotion,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6462035/
378,Temephos,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4962925/
379,catRAPID express,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7458403/
380,SEPAS,1,,,,,,,,,,NCH,,https://doi.org/10.1021/acs.jproteome.0c00273;https://www.ncbi.nlm.nih.gov/pubmed/32551648/
381,LernRisk,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123823/
382,Graviton,3,,,,,,,,,,NCH,,https://arxiv.org/pdf/2010.13216v1.pdf
383,Buxco FinePointe,1,,,,,,,,,,NCH,,https://api.elsevier.com/content/article/pii/S0092867420301707;https://www.sciencedirect.com/science/article/pii/S0092867420301707;https://doi.org/10.1016/j.cell.2020.02.026;https://www.ncbi.nlm.nih.gov/pubmed/32142653/
384,DPOdactic,4,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7314701/
385,google engine,1,,,,,,,,,,NCH,,https://doi.org/10.14740/jocmr4142;https://www.ncbi.nlm.nih.gov/pubmed/32362969/
386,SwissPDBViewer),1,,,,,,,,,,NCH,,https://www.sciencedirect.com/science/article/pii/S0168170210001231;https://api.elsevier.com/content/article/pii/S0168170210001231;https://doi.org/10.1016/j.virusres.2010.03.020;https://www.ncbi.nlm.nih.gov/pubmed/20398710/
387,AGM,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250608/
388,CLH,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32993152/;https://doi.org/10.3390/foods9101369
389,Euk,13,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/28890846/;https://doi.org/10.7717/peerj.3561
390,DIVAs,3,,,,,,,,,,NCH,,https://doi.org/10.1007/s11042-020-09050-x;https://www.ncbi.nlm.nih.gov/pubmed/32837246/
391,ivD platform,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4975254/
392,Mass spec,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7122056/
393,predisi,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7223900/
394,NAOqi,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7527154/
395,Fluidigm Digital Array TM,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3526318/
396,CLC Genomics Workbench (CLC Bio,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/30101189/;https://doi.org/10.1126/sciadv.aas9667
397,Calcusyn®,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104471/
398,ABI Inform,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33499883/;https://doi.org/10.1186/s12992-021-00667-7
399,Allergen Online,1,,,,,,,,,,NCH,,https://doi.org/10.1371/journal.pone.0237181;https://www.ncbi.nlm.nih.gov/pubmed/32813697/
400,Cyclone,6,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103105/
401,XAMPP,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5537262/
402,GenSript,1,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.03.31.014639
403,ADSS,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088195/
404,MutantW,1,,,,,,,,,,NCH,,https://doi.org/10.1038/srep20918;https://www.ncbi.nlm.nih.gov/pubmed/26879383/
405,Cytometry List Mode Acquisition,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/25131332/;https://doi.org/10.1111/cmi.12339
406,Reveal LINQ,1,,,,,,,,,,NCH,,https://doi.org/10.1038/s41569-020-00445-9;https://www.ncbi.nlm.nih.gov/pubmed/33037325/
407,QM,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2101.01780v1.pdf
408,Flow Jo,14,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7090450/
409,DROPimage Matrix,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33134706/;https://doi.org/10.1021/acsomega.0c03917
410,Arelequin,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7094720/
411,WebQuests,25,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32834414/;https://doi.org/10.1016/j.compedu.2020.103979;https://api.elsevier.com/content/article/pii/S0360131520301779;https://www.sciencedirect.com/science/article/pii/S0360131520301779?v=s5
412,cur,2,,,,,,,,,,NCH,,https://arxiv.org/pdf/2007.04553v1.pdf
413,SIRemp,5,,,,,,,,,,NCH,,https://doi.org/10.1002/pra2.252;https://www.ncbi.nlm.nih.gov/pubmed/33173813/
414,CONQUEST,29,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7298177/
415,Review Manager,114,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33302931/;https://doi.org/10.1186/s12916-020-01840-2
416,Postman,2,,,,,,,,,,NCH,,https://arxiv.org/pdf/2012.06502v1.pdf
417,23andMe,2,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.07.25.210468
418,kuenm,2,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.08.11.246991
419,computeReachtube,4,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439743/
420,CERQual,18,,,,,,,,,,NCH,,https://doi.org/10.1007/s00192-020-04494-z;https://www.ncbi.nlm.nih.gov/pubmed/32870341/
421,Isogrid,16,,,,,,,,,,NCH,,https://api.elsevier.com/content/article/pii/S2351978920315511;https://www.sciencedirect.com/science/article/pii/S2351978920315511
422,Curate Exposures,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33275640/;https://doi.org/10.1371/journal.ppat.1009089
423,PRRTE,2,,,,,,,,,,NCH,,https://arxiv.org/pdf/2010.10517v1.pdf
424,Mobile Analysis Platform (MAP),1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33162783/;https://doi.org/10.1016/j.cej.2020.127575;https://www.sciencedirect.com/science/article/pii/S1385894720336974?v=s5;https://api.elsevier.com/content/article/pii/S1385894720336974
425,Schibsted Life,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33302463/;https://doi.org/10.3390/ijerph17249164
426,Amplidiag® Analyzer,1,,,,,,,,,,NCH,,http://medrxiv.org/cgi/content/short/2020.07.03.20144758v1?rss=1;https://doi.org/10.1101/2020.07.03.20144758
427,MBSAP,4,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7122347/
428,LoCost,20,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32908977/;https://doi.org/10.1101/2020.09.04.283077
429,Kinsa Insights,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2007.00756v2.pdf
430,APSIM,1,,,,,,,,,,NCH,,https://www.sciencedirect.com/science/article/pii/S0308521X2030809X;https://api.elsevier.com/content/article/pii/S0308521X2030809X;https://doi.org/10.1016/j.agsy.2020.102948;https://www.ncbi.nlm.nih.gov/pubmed/32934435/
431,SaxoTraderGO,1,,,,,,,,,,NCH,,https://api.elsevier.com/content/article/pii/S001671852030230X;https://doi.org/10.1016/j.geoforum.2020.09.004;https://www.sciencedirect.com/science/article/pii/S001671852030230X;https://www.ncbi.nlm.nih.gov/pubmed/32981950/
432,Prometric,2,,,,,,,,,,NCH,,https://api.elsevier.com/content/article/pii/S089970712030317X;https://www.ncbi.nlm.nih.gov/pubmed/32957024/;https://www.sciencedirect.com/science/article/pii/S089970712030317X?v=s5;https://doi.org/10.1016/j.clinimag.2020.08.016
433,IPEDS,1,,,,,,,,,,NCH,,https://doi.org/10.1007/s11162-020-09615-7;https://www.ncbi.nlm.nih.gov/pubmed/33082619/
434,Statistical Package for the Social,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32979249/;https://doi.org/10.1111/tbed.13853
435,SpectraWiz spectrometer,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7710726/
436,4000 Series Explorer,2,,,,,,,,,,NCH,,https://doi.org/10.1186/1756-8722-2-37;https://www.ncbi.nlm.nih.gov/pubmed/19709441/
437,Primus (,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4837377/
438,AIA,5,,,,,,,,,,NCH,,https://doi.org/10.1136/bmjgh-2020-003176;https://www.ncbi.nlm.nih.gov/pubmed/33472840/
439,Rcpp,7,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6835268/
440,MEDS,1,,,,,,,,,,NCH,,https://doi.org/10.3390/v12111285;https://www.ncbi.nlm.nih.gov/pubmed/33182765/
441,Living Image,17,,,,,,,,,,NCH,,https://doi.org/10.1038/s41598-017-03852-0;https://www.ncbi.nlm.nih.gov/pubmed/28620164/
442,Priv,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2101.07235v1.pdf
443,AckermAnn,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7237802/
444,M5STACK,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340922/
445,SFIDE,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302819/
446,PrimerCompare,1,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.09.29.20204131;http://medrxiv.org/cgi/content/short/2020.09.29.20204131v1?rss=1
447,DNAMLK,2,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.08.13.249086
448,BootScanSiScan in Recombination Detection Program,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/30102851/;https://doi.org/10.1111/tbed.12991
449,NetPathOntoCancro,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7799312/
450,Q3B,5,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7326550/
451,FERG,1,,,,,,,,,,NCH,,https://www.sciencedirect.com/science/article/pii/B9780123786128000081;https://api.elsevier.com/content/article/pii/B9780123786128000081
452,Condmat,4,,,,,,,,,,NCH,,https://doi.org/10.3390/e22020242;https://www.ncbi.nlm.nih.gov/pubmed/33286016/
453,Filemaker Pro,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3400751/
454,SLP,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2008.09035v1.pdf
455,TopNetTree,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2006.10584v1.pdf
456,Cytoscape3,5,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33381519/;https://doi.org/10.3389/fmolb.2020.577285
457,Statistica,83,,,,,,,,,,NCH,,https://doi.org/10.3389/fpsyg.2020.586074;https://www.ncbi.nlm.nih.gov/pubmed/33192917/
458,CBTOPE,16,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/28984193/;https://doi.org/10.1186/s12864-017-4024-8
459,R pROC package,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33024092/;https://doi.org/10.1038/s41467-020-18684-2
460,SNPsplit,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33442682/;https://doi.org/10.1101/2021.01.03.425167
461,SHAPEKnots,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33444546/;https://doi.org/10.1016/j.molcel.2020.12.041;https://www.sciencedirect.com/science/article/pii/S109727652030962X?v=s5;https://api.elsevier.com/content/article/pii/S109727652030962X
462,DEDICATED,1,,,,,,,,,,NCH,,https://www.sciencedirect.com/science/article/pii/S0020748920302674?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/33080475/;https://doi.org/10.1016/j.ijnurstu.2020.103781;https://api.elsevier.com/content/article/pii/S0020748920302674
463,Moliso,1,,,,,,,,,,NCH,,https://api.elsevier.com/content/article/pii/S0968089610006085;https://www.sciencedirect.com/science/article/pii/S0968089610006085;https://doi.org/10.1016/j.bmc.2010.06.080;https://www.ncbi.nlm.nih.gov/pubmed/20634077/
464,LBDI,1,,,,,,,,,,NCH,,https://www.sciencedirect.com/science/article/pii/S004016251200039X;https://www.ncbi.nlm.nih.gov/pubmed/32287411/;https://doi.org/10.1016/j.techfore.2012.02.002;https://api.elsevier.com/content/article/pii/S004016251200039X
465,Dendextend,1,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.11.04.358739
466,Worldometers,4,,,,,,,,,,NCH,,https://doi.org/10.1007/s11071-020-05863-5;https://www.ncbi.nlm.nih.gov/pubmed/32836818/
467,MSAProbs,3,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.07.16.207951
468,forum,2,,,,,,,,,,NCH,,https://arxiv.org/pdf/2010.01150v1.pdf
469,UEL,1,,,,,,,,,,NCH,,https://doi.org/10.1016/j.compbiomed.2020.103963;https://api.elsevier.com/content/article/pii/S0010482520302961;https://www.sciencedirect.com/science/article/pii/S0010482520302961?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32828990/
470,Lasergene DNASTAR),1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7268178/
471,FAIR,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7279931/
472,InfluxData,2,,,,,,,,,,NCH,,https://www.sciencedirect.com/science/article/pii/S2352648320300398?v=s5;https://doi.org/10.1016/j.smhl.2020.100147;https://api.elsevier.com/content/article/pii/S2352648320300398;https://www.ncbi.nlm.nih.gov/pubmed/33251320/
473,OS MasterMap Open Greenspace Layer,1,,,,,,,,,,NCH,,https://doi.org/10.1371/journal.pone.0241102;https://www.ncbi.nlm.nih.gov/pubmed/33095838/
474,statistical Package for Social Sciences,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33461877/;https://doi.org/10.1016/j.clae.2021.01.005;https://api.elsevier.com/content/article/pii/S1367048421000096;https://www.sciencedirect.com/science/article/pii/S1367048421000096
475,addreg,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32418559/;https://doi.org/10.1017/s0950268820001065
476,MAAM,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32836799/;https://doi.org/10.1007/s11002-020-09526-8
477,imputer,1,,,,,,,,,,NCH,,https://doi.org/10.1016/j.matpr.2020.11.117;https://www.ncbi.nlm.nih.gov/pubmed/33224735/;https://www.sciencedirect.com/science/article/pii/S221478532038723X?v=s5;https://api.elsevier.com/content/article/pii/S221478532038723X
478,KNApSAcK,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7798278/
479,HyperDocs,159,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32834414/;https://doi.org/10.1016/j.compedu.2020.103979;https://api.elsevier.com/content/article/pii/S0360131520301779;https://www.sciencedirect.com/science/article/pii/S0360131520301779?v=s5
480,Indri search engine,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2011.12684v2.pdf
481,ASE Echo,1,,,,,,,,,,NCH,,https://doi.org/10.1007/s11886-020-01310-4;https://www.ncbi.nlm.nih.gov/pubmed/32561996/
482,UIowaS,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2010.06467v1.pdf
483,NordiQC,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7550230/
484,SPSS for Window,1,,,,,,,,,,NCH,,https://www.sciencedirect.com/science/article/pii/S0266613806000568;https://www.ncbi.nlm.nih.gov/pubmed/17055624/;https://api.elsevier.com/content/article/pii/S0266613806000568
485,Picture Archiving and Communication Systems (,1,,,,,,,,,,NCH,,https://doi.org/10.1186/s12879-020-05683-3;https://www.ncbi.nlm.nih.gov/pubmed/33308183/
486,Arduino Software / Integrated Development Environment (IDE),1,,,,,,,,,,NCH,,https://doi.org/10.1007/s40860-020-00128-9;https://www.ncbi.nlm.nih.gov/pubmed/33457191/
487,Fiji ImageJ,10,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32937986/;https://doi.org/10.3390/s20185247
488,MAstV,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5454415/
489,AeroVanc,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167879/
490,LISFLOOD,8,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206312/
491,Smart System of Disease Management (SSDM,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32838309/;https://doi.org/10.1016/s2665-9913(20)30227-7;https://www.sciencedirect.com/science/article/pii/S2665991320302277;https://api.elsevier.com/content/article/pii/S2665991320302277
492,DNSMON,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2101.05030v1.pdf
493,DTC Bypath,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33322141/;https://doi.org/10.3390/s20247140
494,GERDA,6,,,,,,,,,,NCH,,https://arxiv.org/pdf/2006.09780v1.pdf
495,Walker2d,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206262/
496,GENESCAN,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/18989457/;https://doi.org/10.1371/journal.pgen.1000251
497,SANA,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088195/
498,CAMRT,1,,,,,,,,,,NCH,,https://doi.org/10.1016/j.jmir.2019.07.011;https://api.elsevier.com/content/article/pii/S1939865417301157;https://www.ncbi.nlm.nih.gov/pubmed/31623975/;https://www.sciencedirect.com/science/article/pii/S1939865417301157
499,LDPO,1,,,,,,,,,,NCH,,https://www.sciencedirect.com/science/article/pii/S0933365719302635?v=s5;https://api.elsevier.com/content/article/pii/S0933365719302635;https://doi.org/10.1016/j.artmed.2020.101878;https://www.ncbi.nlm.nih.gov/pubmed/32425358/
500,EADock ESS,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2003.10642v2.pdf
501,Linux Lubuntu,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276260/
502,UIT,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7404853/
503,GEIC,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7806255/
504,EUCAST,16,,,,,,,,,,NCH,,https://doi.org/10.1016/j.cmi.2020.08.008;https://api.elsevier.com/content/article/pii/S1198743X20304894;https://www.sciencedirect.com/science/article/pii/S1198743X20304894?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32827714/
505,geneious,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4251355/
506,Isolite,1,,,,,,,,,,NCH,,https://www.sciencedirect.com/science/article/pii/S0002817714611454;https://api.elsevier.com/content/article/pii/S0002817714611454;https://www.ncbi.nlm.nih.gov/pubmed/23115148/
507,BertViz,2,,,,,,,,,,NCH,,https://arxiv.org/pdf/2010.02494v1.pdf
508,MINT,22,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6275871/
509,FIGURA,2,,,,,,,,,,NCH,,https://api.elsevier.com/content/article/pii/S1138359320301957;https://www.ncbi.nlm.nih.gov/pubmed/32600935/;https://www.sciencedirect.com/science/article/pii/S1138359320301957?v=s5;https://doi.org/10.1016/j.semerg.2020.06.003
510,CIMIT Medical Device Plug - and - Play (MDPnP),1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7097478/
511,ChexNet,2,,,,,,,,,,NCH,,https://arxiv.org/pdf/2011.01787v1.pdf
512,SpaCy,2,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.12.07.20243881;http://medrxiv.org/cgi/content/short/2020.12.07.20243881v1?rss=1
513,MSLT,1,,,,,,,,,,NCH,,https://doi.org/10.1186/s12916-019-1259-z;https://www.ncbi.nlm.nih.gov/pubmed/30704529/
514,32,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119934/
515,TensorLy,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32640742/;https://doi.org/10.3390/ijerph17134872
516,NADT,1,,,,,,,,,,NCH,,https://academic.oup.com/cid/article-pdf/54/suppl_2/S153/20938419/cir1060.pdf
517,BlueEHR,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7437110/
518,odinger Suite,1,,,,,,,,,,NCH,,https://doi.org/10.1080/07391102.2020.1868335;https://www.ncbi.nlm.nih.gov/pubmed/33382023/
